t,Empty,Young Plant,Small tree,Adult tree,fire,infect,ash,
0,430,402,343,425,0,0,0,
77,0,605,0,995,0,0,0,
78,0,605,0,995,0,0,0,
79,0,605,0,995,0,0,0,
80,0,605,0,995,0,0,0,
81,0,605,0,995,0,0,0,
82,0,605,0,995,0,0,0,
83,0,605,0,995,0,0,0,
84,0,605,0,995,0,0,0,
85,0,605,0,995,0,0,0,
86,0,605,0,995,0,0,0,
87,0,605,0,995,0,0,0,
88,0,605,0,995,0,0,0,
89,0,605,0,995,0,0,0,
90,0,605,0,995,0,0,0,
91,0,605,0,995,0,0,0,
92,0,605,0,995,0,0,0,
93,0,605,0,995,0,0,0,
94,0,605,0,995,0,0,0,
95,0,605,0,995,0,0,0,
96,0,605,0,995,0,0,0,
97,0,605,0,995,0,0,0,
98,0,605,0,995,0,0,0,
99,0,605,0,995,0,0,0,
100,0,605,0,995,0,0,0,
101,0,605,0,995,0,0,0,
102,0,605,0,995,0,0,0,
103,0,605,0,995,0,0,0,
104,0,605,0,995,0,0,0,
105,0,605,0,995,0,0,0,
106,0,605,0,995,0,0,0,
107,0,605,0,995,0,0,0,
108,0,605,0,995,0,0,0,
109,0,605,0,995,0,0,0,
110,0,605,0,995,0,0,0,
111,0,605,0,995,0,0,0,
112,0,605,0,995,0,0,0,
113,0,605,0,995,0,0,0,
114,0,605,0,995,0,0,0,
115,0,605,0,995,0,0,0,
116,0,605,0,995,0,0,0,
117,0,605,0,995,0,0,0,
118,0,605,0,995,0,0,0,
